"job_id","company_id","job_title_short","job_title","job_location","job_via","job_schedule_type","job_work_from_home","search_location","job_posted_date","job_no_degree_mention","job_health_insurance","job_country","salary_rate","salary_year_avg","salary_hour_avg"
711407,14319,"Data Engineer","SSR Data Engineer On premise - Proyecto","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-11-27 17:56:43",1,"","Peru","","",""
730683,16860,"Data Engineer","Ingeniero de datos - GCP Remoto","Lima, Peru","via Indeed","Full-time","","Peru","2023-04-13 17:37:00",1,"","Peru","","",""
735058,22071,"Business Analyst","Analista Senior de Business Intelligence y Data","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-19 17:47:25","","","Peru","","",""
735228,22078,"Software Engineer","Product Engineer Junior","Lima, Peru","via BeBee","Full-time","","Peru","2023-12-06 17:11:15",1,"","Peru","","",""
749535,22408,"Machine Learning Engineer","MACHINE LEARNING ENGINEER","Lima, Peru","via Linkedin","Full-time","","Peru","2023-01-04 17:38:43","","","Peru","","",""
766427,7983,"Data Engineer","Data Engineer (SQL / ETL)","Lima, Peru","via Indeed","Full-time","","Peru","2023-04-26 18:36:13",1,"","Peru","","",""
778556,23009,"Data Engineer","Senior QA Data Engineer","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-04-18 17:58:00",1,"","Peru","","",""
782188,2902,"Data Engineer","Data Visualization Engineer","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-05-29 17:27:37","","","Peru","","",""
786952,23196,"Data Engineer","Data Engineer - SAP / ETL (intermedio)","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-08-28 17:32:20",1,"","Peru","","",""
822268,2906,"Data Engineer","Data engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-02-19 17:31:57",1,"","Peru","","",""
822871,23901,"Data Engineer","Data Engineer Snowflake","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-03-24 17:25:47",1,"","Peru","","",""
824390,23937,"Data Engineer","Data Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:43:01",1,"","Peru","","",""
829064,11468,"Data Engineer","ANALISTA DESPLIEGUE Y DATA PRICING I - Data Engineer Junior","Lima, Peru","via Laborum","Full-time","","Peru","2023-11-28 17:16:45",1,"","Peru","","",""
832572,23009,"Data Engineer","Lead Data Engineer","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-04-18 17:57:58","","","Peru","","",""
834628,24149,"Data Engineer","Data Engineer-GCP","Miraflores, Peru","via LinkedIn","Full-time","","Peru","2023-09-12 17:28:35","","","Peru","","",""
835687,14319,"Senior Data Engineer","AWS Data Engineer Senior","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-09-19 17:22:58","","","Peru","","",""
842043,24298,"Data Analyst","Coordinadora o Coordinador Jr de Data Analyst en Personas y...","Anywhere","via LinkedIn Perú","Full-time",1,"Peru","2023-03-07 17:50:36",1,"","Peru","","",""
844480,22408,"Senior Data Engineer","Data Engineer Senior","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-07-05 17:27:48",1,"","Peru","","",""
846032,22709,"Senior Data Scientist","Senior Data Scientist","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-10-02 17:51:34","","","Peru","","",""
847619,572,"Data Scientist","Data Analytics Tech Lead Work","Lambayeque, Peru","via BeBee Perú","Full-time","","Peru","2023-12-12 17:29:47","","","Peru","","",""
869469,3322,"Data Analyst","Reconciliation Data Analyst","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:42:50",1,"","Peru","","",""
882304,14319,"Senior Data Engineer","Ingeniero de Datos Senior","Peru","via LinkedIn","Full-time","","Peru","2023-05-17 17:59:06",1,"","Peru","","",""
882702,25159,"Cloud Engineer","Cloud Engineer","Lima, Peru","via BeBee","Full-time","","Peru","2023-12-06 17:11:15","","","Peru","","",""
910934,572,"Software Engineer","Design Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-12 17:29:47","","","Peru","","",""
913835,2335,"Software Engineer","Java Software Engineer","Lima, Peru","via Trabajo.org","Full-time","","Peru","2023-03-19 17:35:11","","","Peru","","",""
942430,26398,"Data Engineer","Data Engineer Semi Senior","Lima, Peru","via BeBee","Full-time","","Peru","2023-11-09 17:14:24",1,"","Peru","","",""
955564,1215,"Cloud Engineer","Cloud Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-02-02 17:19:05",1,"","Peru","","",""
968606,18404,"Data Engineer","Big Data Engineer","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-02-17 17:55:10",1,"","Peru","","",""
977480,3322,"Business Analyst","Actuarial Analyst","Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","","Peru","2023-08-20 17:48:24",1,"","Peru","","",""
989374,27297,"Business Analyst","QA Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-11-16 17:14:05",1,"","Peru","","",""
1007376,27628,"Data Scientist","Associate Data Scientist","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-10-25 17:14:16","","","Peru","","",""
1087590,13295,"Data Engineer","Data Engineer","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-12-29 17:23:33","","","Peru","","",""
1089513,5615,"Data Scientist","Data Scientist Associate Solutions Development Ii","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:42:58","","","Peru","","",""
1132607,29938,"Data Engineer","DATA ENGINEER - DATALAKE","Peru","via LinkedIn","Full-time","","Peru","2023-06-19 17:47:48",1,"","Peru","","",""
1145505,10380,"Senior Data Engineer","Senior Data Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","","Peru","2023-05-29 17:27:35","","","Peru","","",""
1189270,24149,"Data Engineer","Data Engineer","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-10-13 17:33:33",1,"","Peru","","",""
1196322,31048,"Data Analyst","Practicante Data Analyst","Lima, Peru","via Trabajo.org","Full-time","","Peru","2023-03-19 17:34:58",1,"","Peru","","",""
1215571,31396,"Data Analyst","Data Analyst","Peru","via LinkedIn","Full-time","","Peru","2023-08-25 17:19:51",1,"","Peru","","",""
1226222,11468,"Data Scientist","MODEL RISK VALIDATOR DATA SCIENTIST","Lima, Peru","via Laborum","Full-time","","Peru","2023-02-15 18:13:28","","","Peru","","",""
1251574,6521,"Software Engineer","Azure DevOps Engineer","San Borja, Peru","via BeBee Perú","Full-time","","Peru","2023-12-19 17:47:35",1,"","Peru","","",""
1256283,32098,"Data Scientist","data scientist","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-06-01 18:28:02","","","Peru","","",""
1256925,32108,"Senior Data Engineer","Senior Data Engineer","Lima, Peru","via BeBee","Full-time","","Peru","2023-12-06 17:11:15",1,"","Peru","","",""
1291803,572,"Business Analyst","Analista Senior de Monetización Fze","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-12 17:29:38","","","Peru","","",""
1297471,1640,"Cloud Engineer","Senior SOC Engineer","Asia, Peru","via Binance - Talentify","Full-time","","Peru","2023-03-09 17:28:21","","","Peru","","",""
1302803,572,"Data Scientist","Data Specialist","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-12 17:29:38","","","Peru","","",""
1305760,32967,"Data Engineer","Data Engineer (Azure)","Miraflores, Peru","via LinkedIn","Full-time","","Peru","2023-04-14 18:23:10",1,"","Peru","","",""
1329740,33375,"Data Engineer","Ingeniero de datos","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-10-18 17:12:28",1,"","Peru","","",""
1333504,33444,"Senior Data Analyst","Sr Data Governance Analyst","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:42:56",1,"","Peru","","",""
1342378,22408,"Senior Data Engineer","Data Engineer Senior","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-06-16 18:07:20",1,"","Peru","","",""
1352591,33765,"Data Engineer","Data engineer warehouse","Lima, Peru","via BeBee","Full-time","","Peru","2023-10-06 17:24:13",1,"","Peru","","",""
1371097,18049,"Data Engineer","Data Engineer","Peru","via Jooble","Full-time","","Peru","2023-01-23 17:18:39",1,"","Peru","","",""
1376044,34175,"Data Engineer","Data Engineer","Lima, Peru","via BeBee","Full-time","","Peru","2023-12-06 17:11:15","","","Peru","","",""
1376566,34187,"Machine Learning Engineer","Convocatoria para Practicante de Machine Learning","Lima, Peru","via Practicas.pe","Full-time","","Peru","2023-02-20 17:24:50","","","Peru","","",""
1386144,34357,"Data Engineer","Data Engineer","Miraflores, Peru","via LinkedIn Perú","Full-time","","Peru","2023-02-28 17:31:15","","","Peru","","",""
1404947,28212,"Software Engineer","Automation Quality Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:43:03","","","Peru","","",""
1407295,34372,"Software Engineer","Systems Operations Analyst Senior","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","","Peru","2023-08-06 18:22:42","","","Peru","","",""
1416654,2948,"Senior Data Scientist","Senior Data Scientist","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-09-08 17:56:09","","","Peru","","",""
1425059,8381,"Machine Learning Engineer","Programador Big Data GDN","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","","Peru","2023-08-06 18:22:42",1,"","Peru","","",""
1435509,35153,"Data Analyst","Data Analyst","Peru","via LinkedIn","Full-time","","Peru","2023-04-27 17:35:28",1,"","Peru","","",""
1439202,35222,"Cloud Engineer","Environmental Engineer, Senior","San Isidro, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:43:03","","","Peru","","",""
1474189,35766,"Data Analyst","Ads Manager y Data Analytics Especialista de","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-19 17:47:25",1,"","Peru","","",""
1573777,37299,"Senior Data Engineer","Senior Database Engineer","Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:43:03",1,"","Peru","","",""
741861,161874,"Data Scientist","Data Scientist","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-21 16:40:06","","","Peru","","",""
1638443,4847,"Data Engineer","Data Engineer","Peru","via Trabajo.org","Full-time","","Peru","2023-03-19 17:35:09",1,"","Peru","","",""
1662278,38685,"Data Analyst","Consultor Jr. de Analítica de Datos","Peru","via BeBee Perú","Full-time","","Peru","2023-12-19 17:47:25","","","Peru","","",""
1668094,38788,"Data Analyst","DATA ANALYST","Lima, Peru","via LinkedIn Perú","Full-time","","Peru","2023-02-26 17:12:51","","","Peru","","",""
1702988,39333,"Data Analyst","Analista de Datos","Lima, Peru","via BeBee","Full-time","","Peru","2023-10-19 17:33:42",1,"","Peru","","",""
1703206,2902,"Data Analyst","Data Analyst de Transformación Digital","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-03-14 17:27:08","","","Peru","","",""
1714201,1640,"Data Engineer","Binance Accelerator Program - Big Data Engineer (Risk)","Peru","via Indeed","Temp work","","Peru","2023-09-08 17:56:21","","","Peru","","",""
1716569,806,"Data Engineer","Platform Engineer (Data & Backend) (6200 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-11-19 17:14:38",1,"","Peru","","",""
1727742,39702,"Data Analyst","Data Analyst","Miraflores, Peru","via LinkedIn","Full-time","","Peru","2023-10-31 17:10:39",1,"","Peru","","",""
1731199,39762,"Data Analyst","Analista Jr. en Data Analytics","Los Olivos, Peru","via LinkedIn","Full-time","","Peru","2023-02-14 17:49:12",1,"","Peru","","",""
1748565,40017,"Data Engineer","Data Engineer","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-12-26 17:23:57",1,"","Peru","","",""
1800589,40715,"Data Engineer","Azure Data Engineer","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-12-18 17:12:32","","","Peru","","",""
1806530,1302,"Data Scientist","Lead Data Scientist","Lima, Peru","via LinkedIn Perú","Full-time","","Peru","2023-02-28 17:31:12","","","Peru","","",""
1810172,13871,"Data Scientist","DATA SCIENTIST","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-05-12 18:37:02","","","Peru","","",""
1814955,40903,"Data Engineer","Data Engineer","Lima, Peru","via BeBee","Full-time","","Peru","2023-12-06 17:11:15","","","Peru","","",""
2776,1302,"Data Scientist","Lead Data Scientist","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-03-17 09:31:00","","","Peru","","",""
9839,806,"Data Scientist","Data Scientist (4666 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-11-08 09:33:34","","","Peru","","",""
12588,41798,"Data Engineer","Big Data Engineer","Lima, Peru","via Laborum","Full-time","","Peru","2023-08-18 09:33:59",1,"","Peru","","",""
23417,8381,"Data Engineer","Data Engineer Azure","Lima, Peru","via Laborum","Full-time","","Peru","2023-08-24 09:37:10","","","Peru","","",""
34765,1302,"Senior Data Engineer","Senior Big Data Engineer","Lima, Peru","via Trabajo.org","Full-time","","Peru","2023-02-07 09:19:31","","","Peru","","",""
36930,806,"Data Engineer","Data Engineer (12000 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-11-03 09:11:49","","","Peru","","",""
47423,806,"Data Engineer","Data Engineer (4480 USD/Mes)","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-10-07 09:22:05",1,"","Peru","","",""
55286,806,"Data Engineer","Data Engineer (12000 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-10-30 09:10:23","","","Peru","","",""
58348,806,"Data Engineer","Data Engineer (3640 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-10-25 09:14:27",1,"","Peru","","",""
71735,806,"Data Engineer","Data Engineer (5833 USD/Mes)","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-10-21 09:11:07",1,"","Peru","","",""
95645,806,"Data Engineer","Data Engineer (5833 USD/Mes)","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-08-08 09:27:34",1,"","Peru","","",""
96860,806,"Data Engineer","Data Engineer (5833 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-08-25 09:19:53",1,"","Peru","","",""
99629,806,"Data Scientist","Data Scientist (Python/SQL) (7750 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-09-24 09:14:33","","","Peru","","",""
106599,2115,"Data Analyst","Data Analyst- Payments & Acquirers","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-11-15 09:15:09",1,"","Peru","","",""
126058,806,"Data Scientist","Data Scientist (Python/SQL) (7750 USD/Mes) [Python,Data...","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-07-22 09:27:22","","","Peru","","",""
158667,806,"Data Engineer","Data Engineer (12000 USD/Mes)","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-07-25 09:14:39","","","Peru","","",""
163927,6230,"Business Analyst","Operations Analyst","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-03-19 09:34:58","","","Peru","","",""
170726,5413,"Data Scientist","Work From Home Data Scientist Data Engineer Ref/ E","Lima, Peru","via GrabJobs","Full-time","","Peru","2023-11-23 09:17:49","","","Peru","","",""
173791,806,"Data Scientist","Data Scientist (7750 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-10-06 09:24:06","","","Peru","","",""
177579,806,"Data Engineer","Data Engineer (85000 MXN/Mes)","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-09-05 09:16:55",1,"","Peru","","",""
180967,806,"Data Engineer","Data Engineer (12000 USD/Mes)","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-09-09 09:21:00","","","Peru","","",""
183013,806,"Data Scientist","Data Scientist (4666 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-10-27 09:10:54","","","Peru","","",""
186783,49050,"Data Scientist","Data Scientist - Hiring Immediately","Lima, Peru","via GrabJobs","Full-time","","Peru","2023-11-21 09:36:23","","","Peru","","",""
186880,42164,"Data Scientist","People Analyst Chapinero, Bogota","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-03-18 09:16:53",1,"","Peru","","",""
194956,806,"Data Engineer","Data Engineer (5833 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-10-25 09:14:27",1,"","Peru","","",""
198370,806,"Data Engineer","Data Engineer (5833 USD/Mes)","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-10-31 09:10:47",1,"","Peru","","",""
223455,8462,"Business Analyst","Marketing Analyst PE (Remote)","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-12-23 09:37:15","","","Peru","","",""
224348,806,"Data Engineer","Data Engineer (4480 USD/Mes)","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-10-14 09:09:17",1,"","Peru","","",""
244884,806,"Data Engineer","Data Engineer (5833 USD/Mes)","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-09-16 09:19:52",1,"","Peru","","",""
246197,806,"Data Engineer","Data Engineer (5833 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-09-29 09:27:45",1,"","Peru","","",""
246355,806,"Data Engineer","Data Engineer (5833 USD/Mes)","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-08-26 09:38:36",1,"","Peru","","",""
259143,1215,"Data Analyst","Reconciliation Data Analyst","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-04-10 09:51:45",1,"","Peru","","",""
262437,806,"Data Scientist","Data Scientist (7750 USD/Mes)","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-10-07 09:22:00","","","Peru","","",""
266590,806,"Data Scientist","Data Scientist (4666 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-11-01 09:09:23","","","Peru","","",""
273490,10380,"Senior Data Engineer","Senior Data Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-05-31 10:00:56","","","Peru","","",""
274551,806,"Data Engineer","Data Engineer (5833 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-10-27 09:10:56",1,"","Peru","","",""
274862,121,"Data Engineer","Data Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-03-17 09:31:00","","","Peru","","",""
275156,806,"Data Engineer","Data Engineer (12000 USD/Mes) [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-09-10 09:21:44","","","Peru","","",""
